Country ID,Country,"Time Series - SO2 total emissions, in 1000 t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SO2 emissions, latest year",% change since 1990,"SO2 emissions per capita, latest year"
,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,1000 t
643,Russian Federation,812.01,735.78,650.60,559.25,458.20,484.19,435.80,443.96,416.66,471.02,516.31,527.45,546.02,566.02,585.82,601.67,619.74,634.39,625.50,590.19,616.77,650.93,682.51,670.44,684.08,684.75,707.43,720.85,739.89,2018, 739.89 ,-8.88, 5.08 
646,Rwanda,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,18.00,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 18.00 ,..., 2.04 
662,Saint Lucia,...,...,...,...,0.61,...,...,...,...,...,0.16,...,...,...,...,0.17,...,...,...,...,0.19,...,...,...,...,...,...,...,...,2010, 0.19 ,..., 1.09 
670,Saint Vincent and the Grenadines,0.25,...,...,...,0.29,...,...,0.32,...,...,0.29,...,...,...,0.46,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2004, 0.46 ,79.67, 4.20 
686,Senegal,...,...,...,...,...,...,...,...,...,...,41.96,...,...,...,...,39.63,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 39.63 ,..., 3.57 
688,Serbia,491.00,...,...,...,...,...,...,...,388.00,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1998, 388.00 ,-20.98, 40.06 
694,Sierra Leone,...,...,...,...,...,...,0.01,0.01,0.01,0.01,0.02,0.03,0.04,0.04,0.05,0.05,...,...,...,...,...,...,...,...,...,...,...,...,...,2005, 0.05 ,..., 0.01 
703,Slovakia,149.16,144.08,141.21,135.74,132.85,129.68,126.37,125.51,125.84,123.16,116.66,122.82,99.11,101.82,93.02,85.98,84.55,68.96,67.58,62.73,67.72,67.05,57.01,51.74,44.47,66.78,26.26,27.87,20.23,2018, 20.23 ,-86.44, 3.71 
705,Slovenia,200.50,185.90,193.00,189.95,183.49,123.43,114.96,118.46,109.21,95.35,92.89,62.47,62.12,59.22,49.63,39.36,16.35,14.24,11.88,9.74,9.65,10.65,10.06,9.00,7.12,4.86,3.95,4.13,4.08,2018, 4.08 ,-97.96, 1.97 
90,Solomon Islands,...,...,...,...,...,...,...,...,...,...,0.27,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,2000, 0.27 ,..., 0.65 
